y(predicted),x
01-Dec-01,22-Sep-88
01-Jan-02,01-Nov-88
01-Feb-02,12-Dec-88
01-Mar-02,01-Feb-89
01-Apr-02,15-Mar-89
01-May-02,01-May-89
01-Jun-02,01-Jul-89
01-Jul-02,22-May-90
01-Aug-02,01-Jul-90
01-Sep-02,22-Apr-90
01-Oct-02,22-May-90
01-Nov-02,01-Nov-90
01-Dec-02,08-Dec-90
01-Jan-03,08-Jan-91
01-Feb-03,08-Feb-91
01-Mar-03,08-Mar-91
01-Apr-03,22-Apr-91
01-May-03,01-Jun-91
01-Jun-03,08-Jul-91
01-Jul-03,22-Mar-90
01-Aug-03,22-May-90
01-Sep-03,01-Jan-90
01-Oct-03,22-Jul-90
01-Nov-03,15-Aug-90
01-Dec-03,01-Oct-90
01-Jan-04,20-Nov-90
01-Feb-04,22-Dec-90
01-Mar-04,22-Jan-91
01-Apr-04,22-Feb-91
01-May-04,01-Apr-91
01-Jun-04,15-May-91
01-Jul-04,22-Jun-91
01-Aug-04,01-Aug-91
01-Sep-04,22-Sep-91
01-Oct-04,01-Nov-90
01-Nov-04,22-Dec-91
01-Dec-04,15-Feb-92
01-Jan-05,08-Apr-92
01-Feb-05,15-May-92
01-Mar-05,22-Jul-92
01-Apr-05,08-Sep-92
01-May-05,22-Oct-92
01-Jun-05,15-Dec-92
01-Jul-05,15-Jan-93
01-Aug-05,22-Feb-93
01-Sep-05,01-Jun-93
01-Oct-05,01-Aug-93
01-Nov-05,01-Oct-93
01-Dec-05,15-Nov-93
01-Jan-06,22-Dec-93
01-Feb-06,01-Feb-94
01-Mar-06,22-Mar-94
01-Apr-06,01-Apr-94
01-May-06,01-Jun-94
01-Jun-06,15-Aug-94
01-Jul-06,01-Oct-94
01-Aug-06,01-Jan-95
01-Sep-06,01-Jul-95
01-Oct-06,01-Aug-95
01-Nov-06,01-Aug-95
01-Dec-06,22-Sep-95
01-Jan-07,01-Oct-95
01-Feb-07,08-Oct-95
01-Mar-07,08-Nov-95
01-Apr-07,01-Jan-96
01-May-07,08-Jan-96
01-Jun-07,22-Jan-96
01-Jul-07,08-Feb-96
01-Aug-07,01-Mar-96
01-Sep-07,15-Apr-96
01-Oct-07,08-May-96
01-Nov-07,22-Jun-96
01-Dec-07,15-Aug-96
01-Jan-08,15-Sep-96
01-Feb-08,08-Oct-96
01-Mar-08,01-Nov-96
01-Apr-08,22-Nov-96
01-May-08,01-Jan-97
01-Jun-08,01-Feb-97
01-Jul-08,15-Feb-97
01-Aug-08,22-Feb-97
01-Sep-08,08-Apr-97
01-Oct-08,22-May-97
01-Nov-08,22-Jul-97
01-Dec-08,15-Sep-97
01-Jan-09,01-Nov-97
01-Feb-09,15-Jan-98
01-Mar-09,01-Mar-98
01-Apr-09,15-Apr-98
01-May-09,08-Jun-98
01-Jun-09,15-Aug-98
01-Jul-09,22-Oct-98
01-Aug-09,22-Dec-98
01-Sep-09,15-Jun-99
01-Oct-09,15-Apr-99
01-Nov-09,15-Jun-99
01-Dec-09,08-Sep-99
01-Jan-10,01-Oct-99
01-Feb-10,15-Nov-99
01-Mar-10,15-Jan-00
01-Apr-10,01-Mar-00
01-May-10,15-May-00
01-Jun-10,01-Sep-00
01-Jul-10,01-Jan-01
01-Aug-10,01-Jun-01
01-Sep-10,15-Oct-01
01-Oct-10,01-Dec-01
01-Nov-10,01-Jan-02
01-Dec-10,01-Jan-02
01-Jan-11,01-Jan-02
01-Feb-11,01-Jan-00
01-Mar-11,01-Jan-00
01-Apr-11,01-Feb-00
01-May-11,08-Mar-00
01-Jun-11,08-Mar-00
01-Jul-11,08-Mar-00
01-Aug-11,08-Apr-00
01-Sep-11,15-Apr-00
01-Oct-11,15-May-00
01-Nov-11,15-Jun-00
01-Dec-11,15-Jul-00
01-Jan-12,15-Aug-00
01-Feb-12,08-Sep-00
01-Mar-12,08-Oct-00
01-Apr-12,08-Nov-00
01-May-12,01-Dec-00
01-Jun-12,08-Jan-01
01-Jul-12,22-Jan-01
01-Aug-12,15-Feb-01
01-Sep-12,08-Mar-01
01-Oct-12,15-Mar-01
01-Nov-12,22-Mar-01
01-Dec-12,01-Apr-01
01-Jan-13,08-Apr-01
01-Feb-13,15-Apr-01
01-Mar-13,22-Apr-01
01-Apr-13,01-May-01
01-May-13,01-May-01
01-Jun-13,01-May-01
01-Jul-13,22-May-01
01-Aug-13,22-Jun-01
01-Sep-13,22-Jul-01
01-Oct-13,08-Aug-01
01-Nov-13,22-Aug-01
01-Dec-13,08-Sep-01
01-Jan-14,01-Oct-01
01-Feb-14,22-Oct-01
01-Mar-14,08-Nov-01
01-Apr-14,22-Nov-01
01-May-14,08-Dec-01
01-Jun-14,15-Dec-01
01-Jul-14,22-Dec-01
01-Aug-14,01-Jan-02
01-Sep-14,01-Jan-02
01-Oct-14,22-Jan-02
01-Nov-14,08-Feb-02
01-Dec-14,22-Feb-02
01-Jan-15,22-Mar-02
01-Feb-15,15-Apr-02
01-Mar-15,15-May-02
01-Apr-15,15-Jun-02
01-May-15,01-Aug-02
01-Jun-15,08-Sep-02
01-Jul-15,22-Oct-02
01-Aug-15,01-Dec-02
01-Sep-15,15-Jan-03
01-Oct-15,08-Feb-03
01-Nov-15,01-Mar-03
01-Dec-15,22-Mar-03
01-Jan-16,22-Apr-03
01-Feb-16,08-Jun-03
01-Mar-16,01-Jul-03
01-Apr-16,22-Jul-03
01-May-16,22-Jul-03
01-Jun-16,01-Jan-01
01-Jul-16,01-Jan-01
01-Aug-16,01-Jan-01
01-Sep-16,01-Jan-01
01-Oct-16,01-Dec-02
01-Nov-16,15-Feb-03
01-Dec-16,01-Apr-03
01-Jan-17,15-May-03
01-Feb-17,15-Jun-03
01-Mar-17,22-Jul-03
01-Apr-17,15-Aug-03
01-May-17,08-Sep-03
01-Jun-17,15-Sep-03
01-Jul-17,22-Sep-03
01-Aug-17,22-Sep-03
01-Sep-17,01-Jan-02
01-Oct-17,01-Oct-03
01-Nov-17,22-Oct-03
01-Dec-17,22-Nov-03
01-Jan-18,15-Dec-03
01-Feb-18,08-Jan-04
01-Mar-18,01-Feb-04
01-Apr-18,15-Feb-04
01-May-18,01-Mar-04
01-Jun-18,15-Mar-04
01-Jul-18,22-Mar-04
01-Aug-18,22-Mar-04
01-Sep-18,08-Apr-04
01-Oct-18,01-May-04
01-Nov-18,01-Jun-04
01-Dec-18,08-Jun-04
01-Jan-19,15-Jun-04
01-Feb-19,22-Jun-04
01-Mar-19,08-Jul-04
01-Apr-19,15-Jul-04
01-May-19,01-Aug-04
01-Jun-19,
01-Jul-19,
01-Aug-19,
01-Sep-19,
01-Oct-19,
01-Nov-19,
01-Dec-19,
01-Jan-20,
01-Feb-20,
01-Mar-20,
01-Apr-20,
01-May-20,
01-Jun-20,
01-Jul-20,
01-Aug-20,
01-Sep-20,
01-Oct-20,
01-Nov-20,
01-Dec-20,
01-Jan-21,
01-Feb-21,
01-Mar-21,
01-Apr-21,
01-May-21,
01-Jun-21,
01-Jul-21,
01-Aug-21,
01-Sep-21,
01-Oct-21,
01-Nov-21,
01-Dec-21,
01-Jan-22,
01-Feb-22,
01-Mar-22,
01-Apr-22,
01-May-22,
01-Jun-22,
01-Jul-22,
01-Aug-22,
01-Sep-22,
01-Oct-22,
01-Nov-22,
01-Dec-22,
01-Jan-23,
01-Feb-23,
01-Mar-23,
01-Apr-23,
01-May-23,
01-Jun-23,
